n,avg_time
10,0.0000017480
20,0.0000025627
30,0.0000028638
40,0.0000030784
50,0.0000033314
60,0.0000035138
70,0.0000036165
80,0.0000036731
90,0.0000038121
100,0.0000039709
110,0.0000041000
120,0.0000042051
130,0.0000044855
140,0.0000041848
150,0.0000044443
160,0.0000040459
170,0.0000044653
180,0.0000044302
190,0.0000046552
200,0.0000048003
210,0.0000042770
220,0.0000048579
230,0.0000048679
240,0.0000047591
250,0.0000049963
260,0.0000049604
270,0.0000050160
280,0.0000050376
290,0.0000051902
300,0.0000047007
310,0.0000052652
320,0.0000051599
330,0.0000049374
340,0.0000054236
350,0.0000051717
360,0.0000054409
370,0.0000054762
380,0.0000049472
390,0.0000052329
400,0.0000055180
410,0.0000056185
420,0.0000050540
430,0.0000057102
440,0.0000056756
450,0.0000057504
460,0.0000056974
470,0.0000058440
480,0.0000057651
490,0.0000057425
500,0.0000059260
510,0.0000058737
520,0.0000058309
530,0.0000055772
540,0.0000055678
550,0.0000059963
560,0.0000059948
570,0.0000059929
580,0.0000060974
590,0.0000058939
600,0.0000061383
610,0.0000061065
620,0.0000061925
630,0.0000061092
640,0.0000057248
650,0.0000059212
660,0.0000063757
670,0.0000062202
680,0.0000063484
690,0.0000064193
700,0.0000063876
710,0.0000064219
720,0.0000064529
730,0.0000064363
740,0.0000066421
750,0.0000065988
760,0.0000060302
770,0.0000067576
780,0.0000066725
790,0.0000066909
800,0.0000066300
810,0.0000068174
820,0.0000066371
830,0.0000065928
840,0.0000068816
850,0.0000066937
860,0.0000069175
870,0.0000069792
880,0.0000064585
890,0.0000069366
900,0.0000067390
910,0.0000064457
920,0.0000069471
930,0.0000072024
940,0.0000070883
950,0.0000073646
960,0.0000073615
970,0.0000067977
980,0.0000073457
990,0.0000074127
1000,0.0000072618
1010,0.0000076797
1020,0.0000068408
1030,0.0000070842
1040,0.0000072208
1050,0.0000074443
1060,0.0000075283
1070,0.0000076019
1080,0.0000078614
1090,0.0000076616
1100,0.0000076329
1110,0.0000075851
1120,0.0000076581
1130,0.0000078555
1140,0.0000076254
1150,0.0000078899
1160,0.0000079211
1170,0.0000081081
1180,0.0000073032
1190,0.0000077373
1200,0.0000080004
1210,0.0000082925
1220,0.0000081420
1230,0.0000079651
1240,0.0000077471
1250,0.0000075804
1260,0.0000082360
1270,0.0000084054
1280,0.0000081414
1290,0.0000081946
1300,0.0000080401
1310,0.0000084010
1320,0.0000079113
1330,0.0000083518
1340,0.0000083711
1350,0.0000083095
1360,0.0000084167
1370,0.0000085192
1380,0.0000087608
1390,0.0000087154
1400,0.0000085269
1410,0.0000081300
1420,0.0000086949
1430,0.0000087742
1440,0.0000086542
1450,0.0000088658
1460,0.0000088028
1470,0.0000087400
1480,0.0000088180
1490,0.0000083519
1500,0.0000085383
1510,0.0000088587
1520,0.0000090687
1530,0.0000090477
1540,0.0000089810
1550,0.0000090905
1560,0.0000089619
1570,0.0000091196
1580,0.0000093330
1590,0.0000087730
1600,0.0000086835
1610,0.0000091078
1620,0.0000094673
1630,0.0000089162
1640,0.0000096154
1650,0.0000090859
1660,0.0000091952
1670,0.0000094273
1680,0.0000092839
1690,0.0000089672
1700,0.0000091548
1710,0.0000095503
1720,0.0000099604
1730,0.0000092973
1740,0.0000095542
1750,0.0000096275
1760,0.0000094641
1770,0.0000090683
1780,0.0000097403
1790,0.0000097384
1800,0.0000097769
1810,0.0000097260
1820,0.0000098344
1830,0.0000098121
1840,0.0000099865
1850,0.0000101835
1860,0.0000099133
1870,0.0000101536
1880,0.0000101995
1890,0.0000100343
1900,0.0000103752
1910,0.0000093282
1920,0.0000097880
1930,0.0000100311
1940,0.0000100517
1950,0.0000099601
1960,0.0000100232
1970,0.0000101921
1980,0.0000105258
1990,0.0000104738
2000,0.0000102594
