n,avg_time
10,0.0000003709
20,0.0000004565
30,0.0000005119
40,0.0000005476
50,0.0000005562
60,0.0000006053
70,0.0000006204
80,0.0000006457
90,0.0000007636
100,0.0000006585
110,0.0000006770
120,0.0000006974
130,0.0000006930
140,0.0000007242
150,0.0000007339
160,0.0000007648
170,0.0000007741
180,0.0000007703
190,0.0000007897
200,0.0000007876
210,0.0000007722
220,0.0000008025
230,0.0000008743
240,0.0000008125
250,0.0000008114
260,0.0000008248
270,0.0000008161
280,0.0000008253
290,0.0000008323
300,0.0000008438
310,0.0000008427
320,0.0000008430
330,0.0000008570
340,0.0000008572
350,0.0000008550
360,0.0000008591
370,0.0000009108
380,0.0000008897
390,0.0000008695
400,0.0000008829
410,0.0000008834
420,0.0000008897
430,0.0000008906
440,0.0000008986
450,0.0000009545
460,0.0000008977
470,0.0000010411
480,0.0000010613
490,0.0000009180
500,0.0000010188
510,0.0000009544
520,0.0000009279
530,0.0000009247
540,0.0000009268
550,0.0000009292
560,0.0000010325
570,0.0000009619
580,0.0000010761
590,0.0000009420
600,0.0000010230
610,0.0000009800
620,0.0000009640
630,0.0000009584
640,0.0000009529
650,0.0000009566
660,0.0000009704
670,0.0000009537
680,0.0000009637
690,0.0000009690
700,0.0000009670
710,0.0000009906
720,0.0000009749
730,0.0000010825
740,0.0000009824
750,0.0000010616
760,0.0000009801
770,0.0000011191
780,0.0000009905
790,0.0000009941
800,0.0000010584
810,0.0000009982
820,0.0000010778
830,0.0000010661
840,0.0000010875
850,0.0000010008
860,0.0000010070
870,0.0000010674
880,0.0000010559
890,0.0000010031
900,0.0000010194
910,0.0000010176
920,0.0000010784
930,0.0000010119
940,0.0000010168
950,0.0000010275
960,0.0000010388
970,0.0000011121
980,0.0000010388
990,0.0000010254
1000,0.0000010279
1010,0.0000010495
1020,0.0000010442
1030,0.0000010720
1040,0.0000010385
1050,0.0000010446
1060,0.0000011269
1070,0.0000011361
1080,0.0000010641
1090,0.0000012054
1100,0.0000010485
1110,0.0000010482
1120,0.0000011438
1130,0.0000011000
1140,0.0000010589
1150,0.0000010608
1160,0.0000010544
1170,0.0000010725
1180,0.0000011919
1190,0.0000011024
1200,0.0000011222
1210,0.0000010773
1220,0.0000012170
1230,0.0000010854
1240,0.0000011396
1250,0.0000011518
1260,0.0000010776
1270,0.0000011410
1280,0.0000011852
1290,0.0000011505
1300,0.0000011620
1310,0.0000011147
1320,0.0000010794
1330,0.0000011659
1340,0.0000011076
1350,0.0000011091
1360,0.0000011175
1370,0.0000011567
1380,0.0000011243
1390,0.0000012087
1400,0.0000010958
1410,0.0000011751
1420,0.0000011689
1430,0.0000011454
1440,0.0000011427
1450,0.0000011867
1460,0.0000010978
1470,0.0000011018
1480,0.0000011515
1490,0.0000011622
1500,0.0000011756
1510,0.0000011357
1520,0.0000010995
1530,0.0000011837
1540,0.0000011970
1550,0.0000011418
1560,0.0000011435
1570,0.0000011695
1580,0.0000011424
1590,0.0000011560
1600,0.0000011487
1610,0.0000011604
1620,0.0000011825
1630,0.0000011922
1640,0.0000011729
1650,0.0000011599
1660,0.0000011917
1670,0.0000011610
1680,0.0000011583
1690,0.0000012387
1700,0.0000011812
1710,0.0000011927
1720,0.0000011848
1730,0.0000013363
1740,0.0000011924
1750,0.0000011597
1760,0.0000011971
1770,0.0000012574
1780,0.0000011724
1790,0.0000011710
1800,0.0000011923
1810,0.0000012150
1820,0.0000012380
1830,0.0000012061
1840,0.0000012247
1850,0.0000012243
1860,0.0000011765
1870,0.0000011919
1880,0.0000012055
1890,0.0000011902
1900,0.0000012359
1910,0.0000012089
1920,0.0000012138
1930,0.0000012222
1940,0.0000011892
1950,0.0000012556
1960,0.0000011806
1970,0.0000012102
1980,0.0000012297
1990,0.0000012977
2000,0.0000012583
