n,avg_time
10,0.0000023731
20,0.0000032343
30,0.0000031118
40,0.0000036048
50,0.0000038123
60,0.0000039524
70,0.0000040387
80,0.0000042187
90,0.0000039786
100,0.0000043850
110,0.0000045942
120,0.0000046266
130,0.0000047322
140,0.0000046712
150,0.0000048443
160,0.0000049944
170,0.0000044742
180,0.0000051211
190,0.0000050293
200,0.0000050688
210,0.0000048274
220,0.0000048117
230,0.0000051804
240,0.0000054559
250,0.0000053823
260,0.0000052736
270,0.0000055431
280,0.0000055168
290,0.0000057574
300,0.0000054939
310,0.0000056762
320,0.0000057313
330,0.0000051147
340,0.0000057753
350,0.0000056953
360,0.0000057594
370,0.0000057607
380,0.0000054016
390,0.0000056674
400,0.0000056104
410,0.0000060866
420,0.0000056726
430,0.0000054190
440,0.0000055967
450,0.0000055237
460,0.0000055433
470,0.0000062031
480,0.0000061327
490,0.0000060156
500,0.0000062531
510,0.0000062024
520,0.0000061711
530,0.0000062065
540,0.0000064260
550,0.0000061162
560,0.0000061367
570,0.0000065939
580,0.0000064308
590,0.0000060892
600,0.0000063664
610,0.0000061746
620,0.0000065576
630,0.0000065125
640,0.0000060843
650,0.0000064403
660,0.0000067467
670,0.0000065434
680,0.0000067523
690,0.0000068490
700,0.0000068353
710,0.0000068425
720,0.0000063426
730,0.0000068143
740,0.0000068693
750,0.0000069460
760,0.0000069367
770,0.0000066156
780,0.0000064216
790,0.0000071362
800,0.0000066911
810,0.0000069352
820,0.0000071939
830,0.0000068721
840,0.0000072482
850,0.0000073432
860,0.0000071321
870,0.0000075523
880,0.0000071154
890,0.0000071035
900,0.0000067855
910,0.0000075239
920,0.0000075262
930,0.0000072910
940,0.0000076989
950,0.0000076812
960,0.0000077220
970,0.0000075578
980,0.0000077378
990,0.0000074587
1000,0.0000076661
1010,0.0000077585
1020,0.0000076141
1030,0.0000077969
1040,0.0000072380
1050,0.0000081554
1060,0.0000077255
1070,0.0000079963
1080,0.0000080959
1090,0.0000083065
1100,0.0000081177
1110,0.0000079896
1120,0.0000081422
1130,0.0000081092
1140,0.0000079977
1150,0.0000080443
1160,0.0000082935
1170,0.0000076488
1180,0.0000084955
1190,0.0000085625
1200,0.0000086005
1210,0.0000084381
1220,0.0000085947
1230,0.0000086829
1240,0.0000087564
1250,0.0000083682
1260,0.0000084054
1270,0.0000087340
1280,0.0000086085
1290,0.0000089179
1300,0.0000086607
1310,0.0000086061
1320,0.0000090021
1330,0.0000088173
1340,0.0000087785
1350,0.0000088243
1360,0.0000088432
1370,0.0000086702
1380,0.0000087614
1390,0.0000091787
1400,0.0000087454
1410,0.0000090943
1420,0.0000090472
1430,0.0000086058
1440,0.0000090524
1450,0.0000090753
1460,0.0000093185
1470,0.0000091671
1480,0.0000091002
1490,0.0000093147
1500,0.0000093095
1510,0.0000087637
1520,0.0000093864
1530,0.0000094892
1540,0.0000096022
1550,0.0000096008
1560,0.0000093522
1570,0.0000097264
1580,0.0000094573
1590,0.0000096132
1600,0.0000094090
1610,0.0000095624
1620,0.0000098656
1630,0.0000094352
1640,0.0000097646
1650,0.0000097820
1660,0.0000097590
1670,0.0000094437
1680,0.0000090137
1690,0.0000098516
1700,0.0000097182
1710,0.0000098926
1720,0.0000100133
1730,0.0000101628
1740,0.0000100259
1750,0.0000098600
1760,0.0000094270
1770,0.0000095248
1780,0.0000098082
1790,0.0000096764
1800,0.0000101408
1810,0.0000104006
1820,0.0000103868
1830,0.0000104480
1840,0.0000105002
1850,0.0000102526
1860,0.0000102752
1870,0.0000104576
1880,0.0000104196
1890,0.0000107684
1900,0.0000103622
1910,0.0000102322
1920,0.0000106676
1930,0.0000105182
1940,0.0000097625
1950,0.0000100869
1960,0.0000101933
1970,0.0000106967
1980,0.0000108190
1990,0.0000104572
2000,0.0000108201
