n,memory
10,4536
20,8936
30,12696
40,17736
50,21496
60,25256
70,34648
80,38408
90,42168
100,45928
110,49688
120,53448
130,61304
140,65064
150,68824
160,72584
170,76344
180,80104
190,83864
200,87624
210,91384
220,95144
230,98904
240,102664
250,106424
260,118376
270,122136
280,125896
290,129656
300,133416
310,137176
320,140936
330,144696
340,148456
350,152216
360,155976
370,159736
380,163496
390,167256
400,171016
410,174776
420,178536
430,182296
440,186056
450,189816
460,193576
470,197336
480,201096
490,204856
500,208616
510,212376
520,232520
530,236280
540,240040
550,243800
560,247560
570,251320
580,255080
590,258840
600,262600
610,266360
620,270120
630,273880
640,277640
650,281400
660,285160
670,288920
680,292680
690,296440
700,300200
710,303960
720,307720
730,311480
740,315240
750,319000
760,322760
770,326520
780,330280
790,334040
800,337800
810,341560
820,345320
830,349080
840,352840
850,356600
860,360360
870,364120
880,367880
890,371640
900,375400
910,379160
920,382920
930,386680
940,390440
950,394200
960,397960
970,401720
980,405480
990,409240
1000,413000
1010,416760
1020,420520
1030,457048
1040,460808
1050,464568
1060,468328
1070,472088
1080,475848
1090,479608
1100,483368
1110,487128
1120,490888
1130,494648
1140,498408
1150,502168
1160,505928
1170,509688
1180,513448
1190,517208
1200,520968
1210,524728
1220,528488
1230,532248
1240,536008
1250,539768
1260,543528
1270,547288
1280,551048
1290,554808
1300,558568
1310,562328
1320,566088
1330,569848
1340,573608
1350,577368
1360,581128
1370,584888
1380,588648
1390,592408
1400,596168
1410,599928
1420,603688
1430,607448
1440,611208
1450,614968
1460,618728
1470,622488
1480,626248
1490,630008
1500,633768
1510,637528
1520,641288
1530,645048
1540,648808
1550,652568
1560,656328
1570,660088
1580,663848
1590,667608
1600,671368
1610,675128
1620,678888
1630,682648
1640,686408
1650,690168
1660,693928
1670,697688
1680,701448
1690,705208
1700,708968
1710,712728
1720,716488
1730,720248
1740,724008
1750,727768
1760,731528
1770,735288
1780,739048
1790,742808
1800,746568
1810,750328
1820,754088
1830,757848
1840,761608
1850,765368
1860,769128
1870,772888
1880,776648
1890,780408
1900,784168
1910,787928
1920,791688
1930,795448
1940,799208
1950,802968
1960,806728
1970,810488
1980,814248
1990,818008
2000,821768
