n,avg_memory
10,1072
20,2032
30,2602
40,3952
50,3952
60,3952
70,10864
80,10864
90,10864
100,10864
110,10864
120,10864
130,20592
140,20592
150,20592
160,20592
170,20592
180,20592
190,20592
200,20592
210,20592
220,20592
230,20592
240,20592
250,20592
260,32880
270,32880
280,32880
290,32880
300,32880
310,32880
320,32880
330,32880
340,32880
350,32880
360,32880
370,32880
380,32880
390,32880
400,32880
410,32880
420,32880
430,32880
440,32880
450,32880
460,32880
470,32880
480,32880
490,32880
500,32880
510,39761
520,57456
530,57456
540,57456
550,57456
560,57456
570,57456
580,57456
590,57456
600,57456
610,57456
620,57456
630,57456
640,57456
650,57456
660,57456
670,57456
680,57456
690,57456
700,57456
710,57456
720,57456
730,57456
740,57456
750,57456
760,57456
770,57456
780,57456
790,57456
800,57456
810,57456
820,57456
830,57456
840,57456
850,57456
860,57456
870,57456
880,57456
890,57456
900,57456
910,57456
920,57456
930,57456
940,57456
950,57456
960,57456
970,57456
980,57456
990,57456
1000,57456
1010,57456
1020,57456
1030,106608
1040,106608
1050,106608
1060,106608
1070,106608
1080,106608
1090,106608
1100,106608
1110,106608
1120,106608
1130,106608
1140,106608
1150,106608
1160,106608
1170,106608
1180,106608
1190,106608
1200,106608
1210,106608
1220,106608
1230,106608
1240,106608
1250,106608
1260,106608
1270,106608
1280,106608
1290,106608
1300,106608
1310,106608
1320,106608
1330,106608
1340,106608
1350,106608
1360,106608
1370,106608
1380,106608
1390,106608
1400,106608
1410,106608
1420,106608
1430,106608
1440,106608
1450,106608
1460,106608
1470,106608
1480,106608
1490,106608
1500,106608
1510,106608
1520,106608
1530,106608
1540,106608
1550,106608
1560,106608
1570,106608
1580,106608
1590,106608
1600,106608
1610,106608
1620,106608
1630,106608
1640,106608
1650,106608
1660,106608
1670,106608
1680,106608
1690,106608
1700,106608
1710,106608
1720,106608
1730,106608
1740,106608
1750,106608
1760,106608
1770,106608
1780,106608
1790,106608
1800,106608
1810,106608
1820,106608
1830,106608
1840,106608
1850,106608
1860,106608
1870,106608
1880,106608
1890,106608
1900,106608
1910,106608
1920,106608
1930,106608
1940,106608
1950,106608
1960,106608
1970,106608
1980,106608
1990,106608
2000,106608
2010,106608
2020,106608
2030,106608
2040,106608
2050,204912
2060,204912
2070,204912
2080,204912
2090,204912
2100,204912
2110,204912
2120,204912
2130,204912
2140,204912
2150,204912
2160,204912
2170,204912
2180,204912
2190,204912
2200,204912
2210,204912
2220,204912
2230,204912
2240,204912
2250,204912
2260,204912
2270,204912
2280,204912
2290,204912
2300,204912
2310,204912
2320,204912
2330,204912
2340,204912
2350,204912
2360,204912
2370,204912
2380,204912
2390,204912
2400,204912
2410,204912
2420,204912
2430,204912
2440,204912
2450,204912
2460,204912
2470,204912
2480,204912
2490,204912
2500,204912
2510,204912
2520,204912
2530,204912
2540,204912
2550,204912
2560,204912
2570,204912
2580,204912
2590,204912
2600,204912
2610,204912
2620,204912
2630,204912
2640,204912
2650,204912
2660,204912
2670,204912
2680,204912
2690,204912
2700,204912
2710,204912
2720,204912
2730,204912
2740,204912
2750,204912
2760,204912
2770,204912
2780,204912
2790,204912
2800,204912
2810,204912
2820,204912
2830,204912
2840,204912
2850,204912
2860,204912
2870,204912
2880,204912
2890,204912
2900,204912
2910,204912
2920,204912
2930,204912
2940,204912
2950,204912
2960,204912
2970,204912
2980,204912
2990,204912
3000,204912
3010,204912
3020,204912
3030,204912
3040,204912
3050,204912
3060,204912
3070,204912
3080,204912
3090,204912
3100,204912
3110,204912
3120,204912
3130,204912
3140,204912
3150,204912
3160,204912
3170,204912
3180,204912
3190,204912
3200,204912
3210,204912
3220,204912
3230,204912
3240,204912
3250,204912
3260,204912
3270,204912
3280,204912
3290,204912
3300,204912
3310,204912
3320,204912
3330,204912
3340,204912
3350,204912
3360,204912
3370,204912
3380,204912
3390,204912
3400,204912
3410,204912
3420,204912
3430,204912
3440,204912
3450,204912
3460,204912
3470,204912
3480,204912
3490,204912
3500,204912
3510,204912
3520,204912
3530,204912
3540,204912
3550,204912
3560,204912
3570,204912
3580,204912
3590,204912
3600,204912
3610,204912
3620,204912
3630,204912
3640,204912
3650,204912
3660,204912
3670,204912
3680,204912
3690,204912
3700,204912
3710,204912
3720,204912
3730,204912
3740,204912
3750,204912
3760,204912
3770,204912
3780,204912
3790,204912
3800,204912
3810,204912
3820,204912
3830,204912
3840,204912
3850,204912
3860,204912
3870,204912
3880,204912
3890,204912
3900,204912
3910,204912
3920,204912
3930,204912
3940,204912
3950,204912
3960,204912
3970,204912
3980,204912
3990,204912
4000,204912
4010,204912
4020,204912
4030,204912
4040,204912
4050,204912
4060,204912
4070,204912
4080,204912
4090,204912
4100,401520
4110,401520
4120,401520
4130,401520
4140,401520
4150,401520
4160,401520
4170,401520
4180,401520
4190,401520
4200,401520
4210,401520
