n,avg_time
10,0.0000008440
20,0.0000010824
30,0.0000013781
40,0.0000018907
50,0.0000021076
60,0.0000024700
70,0.0000029445
80,0.0000032806
90,0.0000037217
100,0.0000040269
110,0.0000043774
120,0.0000048828
130,0.0000051761
140,0.0000056005
150,0.0000058651
160,0.0000060964
170,0.0000064301
180,0.0000070310
190,0.0000071979
200,0.0000076866
210,0.0000079727
220,0.0000082731
230,0.0000087118
240,0.0000085306
250,0.0000090289
260,0.0000096440
270,0.0000098133
280,0.0000107622
290,0.0000106859
300,0.0000107622
310,0.0000110245
320,0.0000114965
330,0.0000117087
340,0.0000135708
350,0.0000125742
360,0.0000124288
370,0.0000128984
380,0.0000130677
390,0.0000134516
400,0.0000137854
410,0.0000144911
420,0.0000149012
430,0.0000150228
440,0.0000172782
450,0.0000183010
460,0.0000169683
470,0.0000167394
480,0.0000194240
490,0.0000197268
500,0.0000201201
510,0.0000191808
520,0.0000188947
530,0.0000183845
540,0.0000191164
550,0.0000210357
560,0.0000216174
570,0.0000198603
580,0.0000206518
590,0.0000209117
600,0.0000211430
610,0.0000210595
620,0.0000216985
630,0.0000223899
640,0.0000230813
650,0.0000247645
660,0.0000242519
670,0.0000232625
680,0.0000239396
690,0.0000255847
700,0.0000256896
710,0.0000248408
720,0.0000252080
730,0.0000254202
740,0.0000259900
750,0.0000261807
760,0.0000264215
770,0.0000285959
780,0.0000292373
790,0.0000273943
800,0.0000282860
810,0.0000278091
820,0.0000332808
830,0.0000287247
840,0.0000313973
850,0.0000292277
860,0.0000296140
870,0.0000315022
880,0.0000305438
890,0.0000304174
900,0.0000313640
910,0.0000334668
920,0.0000362039
930,0.0000371957
940,0.0000386977
950,0.0000349760
960,0.0000329876
970,0.0000334740
980,0.0000390863
990,0.0000341344
1000,0.0000365138
1010,0.0000356483
1020,0.0000352669
1030,0.0000411701
1040,0.0000363159
1050,0.0000383711
1060,0.0000365138
1070,0.0000375628
1080,0.0000396395
1090,0.0000427318
1100,0.0000444007
1110,0.0000441647
1120,0.0000466514
1130,0.0000428462
1140,0.0000391388
1150,0.0000435734
1160,0.0000406718
1170,0.0000405121
1180,0.0000430036
1190,0.0000415206
1200,0.0000416398
1210,0.0000463581
1220,0.0000451064
1230,0.0000424576
1240,0.0000482702
1250,0.0000511217
1260,0.0000478148
1270,0.0000468946
1280,0.0000447488
1290,0.0000443435
1300,0.0000449204
1310,0.0000453424
